DISTRITO,CAT,UBIGEO,POB_2020,MAS80_2020,DISC_2020,IVA,IDH_2019,POBREZA_2019,EXT_POBREZA_2019,UBIGEO_PROV,UBIGEO_REG,AUSEN,INVAL,ACCION POPULAR,ALIANZA PARA EL PROGRESO,AVANZA PAIS - PARTIDO DE INTEGRACION SOCIAL,DEMOCRACIA DIRECTA,"EL FRENTE AMPLIO POR JUSTICIA, VIDA Y LIBERTAD",FRENTE POPULAR AGRICOLA FIA DEL PERU - FREPAP,FUERZA POPULAR,JUNTOS POR EL PERU,PARTIDO DEMOCRATICO SOMOS PERU,PARTIDO POPULAR CRISTIANO - PPC,PERU LIBERTARIO,PERU NACION,PERU PATRIA SEGURA,PERUANOS POR EL KAMBIO,PODEMOS POR EL PROGRESO DEL PERU,RESTAURACION NACIONAL,SIEMPRE UNIDOS,SOLIDARIDAD NACIONAL,TOTAL DE VOTOS VALIDOS,UNION POR EL PERU,VAMOS PERU,GANADOR,WIN_VAL
SAN JUAN DE LURIGANCHO,Distrito,150132,1112394,11049,8071,0.63630580902099598,0.70105302527750601,17.703939999999999,1.105488,150100,150000,15.74,15.47,25.57,4.69,0.69,2.76,2.34,3.69,4.55,0.83,5.32,3.06,4.9,1.18,7.4,0.41,24.25,2.22,1.04,1.63,100,2.8,0.68,ACCION POPULAR,25.57
SAN JUAN DE MIRAFLORES,Distrito,150133,452124,7582,3691,0.22470939159393299,0.72899985349478802,15.18192,0.69862899999999994,150100,150000,15.17,14.98,32.96,2.74,0.94,1.66,1.38,3.3,4.17,0.72,1.82,4.09,5.68,0.42,8.83,0.38,20.67,2.82,0.69,3.78,100,2.49,0.46,ACCION POPULAR,32.96
SAN LUIS,Distrito,150134,76335,1926,559,0.115508079528809,0.79325813068449202,5.4735670000000001,0.103385,150100,150000,17.13,4.11,40.63,3.48,0.72,2.63,1.39,0.96,2.3,0.82,1.58,4.57,3.98,0.54,5.26,0.4,20.06,2.4,2.17,1.87,100,3.37,0.87,ACCION POPULAR,40.63
SAN MARTIN DE PORRES,Distrito,150135,711801,12490,5826,0.22658169269561801,0.741997963067072,10.343178999999999,0.30687799999999998,150100,150000,17.31,15.06,36.7,5.59,0.68,2.01,1.69,1.17,2.68,0.62,4.04,3.84,3.67,0.49,7.64,0.81,22.14,1.21,1.32,2.13,100,1.13,0.44,ACCION POPULAR,36.7
SAN MIGUEL,Distrito,150136,178264,5560,1738,7.48099684715271E-2,0.82240064970572802,1.581726,3.3687000000000002E-2,150100,150000,19.3,11.78,57.17,1.22,0.21,2.06,1.06,0.41,1.5,0.77,1.32,5.64,2.33,0.37,4.75,0.22,13.66,1.4,0.84,4.08,100,0.74,0.27,ACCION POPULAR,57.17
SANTA ANITA,Distrito,150137,265381,2753,1546,0.122974634170532,0.73473092245191196,9.643694,0.26830900000000002,150100,150000,15.67,4.93,29.11,6.03,0.55,1.5,1.81,2.27,2.22,0.71,2.87,7.63,4.3,1.12,5.68,0.39,22.52,1.76,2.23,4.15,100,2.17,0.96,ACCION POPULAR,29.11
SANTA MARIA DEL MAR,Distrito,150138,1738,48,15,0.27871316671371499,0.74665973892197302,7.0655619999999999,0.35320400000000002,150100,150000,14.75,2.97,16.43,13.48,1.92,1.74,0.9,0.51,4.19,0.37,9.19,9.56,10.08,0.49,11.07,0.46,13.12,3.19,0.56,0.72,100,1.37,0.65,ACCION POPULAR,16.43
SANTA ROSA,Distrito,150139,21775,111,134,0.228549599647522,0.66057735598144596,22.028652999999998,1.968988,150100,150000,17.66,13.71,23.23,8.95,0.54,4.22,0.83,1.62,7.72,0.26,7.91,4.16,2.55,1.44,5.77,0.22,22.32,1.09,3.87,1.39,100,1.31,0.59,ACCION POPULAR,23.23
SANTIAGO DE SURCO,Distrito,150140,421099,12759,2908,6.2814474105835003E-2,0.80175748979023498,1.2312829999999999,4.4496000000000001E-2,150100,150000,21.88,4.56,56.79,1.15,1.05,1.82,0.95,0.55,2.41,0.58,1.83,6.08,2.64,0.25,4,0.26,12.66,2.42,1.08,1.34,100,0.86,1.3,ACCION POPULAR,56.79
SURQUILLO,Distrito,150141,122954,3977,1004,9.3279361724853502E-2,0.81711366891035597,2.7475589999999999,0.16409299999999999,150100,150000,18.49,5.19,48.06,1.34,0.32,1.84,1.24,0.59,1.73,0.61,3.86,9.74,3.46,0.65,4.72,0.28,14.67,1.65,1.07,1.85,100,1.19,1.13,ACCION POPULAR,48.06
VILLA EL SALVADOR,Distrito,150142,468762,4380,3134,0.17832916975021401,0.69904812328575605,20.166088999999999,1.0015320000000001,150100,150000,13.83,13.72,26.33,3.09,0.89,2.53,1.56,3.87,2.16,0.88,2.7,3.02,4.79,0.58,17.13,0.26,21.54,2.94,0.56,2.16,100,2.44,0.56,ACCION POPULAR,26.33
VILLA MARIA DEL TRIUNFO,Distrito,150143,487189,6566,3576,0.190284848213196,0.68981199458012599,16.823515,0.89249699999999998,150100,150000,14.85,13.34,25.6,2.91,1.04,2.16,1.16,3.03,1.66,0.64,2.74,3.11,4.66,0.46,21.16,0.31,20.39,2.81,0.57,1.28,100,3.82,0.48,ACCION POPULAR,25.6
